category,impact,description,priority
waste_management,low,Garbage vehicle not arrived issue in Vishwanathnagenahalli area,0.36
waste_management,medium,Issue with obstructions Branches / Trees. in Bilekahalli,0.44
waste_management,medium,Complaint regarding Garbage dump at Visvesvarapuram,0.51
waste_management,low,Issue with Garbage vehicle not arrived in Vishwanathnagenahalli,0.39
waste_management,medium,Issue with Garbage vehicle not arrived in Rajarajeshwari Nagar,0.44
electricity,high,Street Light Not Working problem in Rajarajeshwari Nagar ward,0.73
waste_management,medium,Animal birth control/neutering of stray dogs issue in Hongasandra area,0.43
waste_management,medium,Garbage dump reported in Kottigepalya,0.49
waste_management,low,Removal of dead/fallen trees reported in Kodigehalli,0.38
waste_management,medium,Issue with Road cutting in Horamavu,0.45
waste_management,low,Complaint regarding Burning of Garbage in Open Space at Konanakunte,0.37
waste_management,low,Issue with Potholes in Hemmigepura,0.38
waste_management,medium,obstructions Branches / Trees. reported in Laggere,0.42
electricity,high,Street Light Not Working reported in Rajamahal,0.73
electricity,medium,Street Light Not Working reported in J.P.Park,0.69
waste_management,medium,Others issue in Pulikeshi Nagar area,0.47
waste_management,medium,Dead animal(s) problem in K.R.Puram ward,0.43
waste_management,medium,Garbage vehicle not arrived reported in Basavanapura,0.46
waste_management,medium,Garbage dump reported in Jayangar,0.49
waste_management,low,Issue with Sweeping not done in Yelachenahalli,0.36
electricity,medium,Street Light Not Working reported in Begur,0.66
electricity,high,Complaint regarding Street Light Not Working at Kadugodi,0.73
electricity,medium,Street Light Not Working issue in Ullalu area,0.70
waste_management,low,Garbage vehicle not arrived issue in Chikpete area,0.38
waste_management,medium,Issue with footpath encroachment in Nagavara,0.44
electricity,high,Street Light Not Working issue in Attiguppe area,0.71
electricity,high,Street Light Not Working problem in Doddanekkundi ward,0.71
electricity,high,Issue with Street Light Not Working in Kodigehalli,0.72
electricity,high,Street Light Not Working problem in HBR Layout ward,0.71
waste_management,medium,Garbage dump reported in Kumaraswamy Layout,0.45
electricity,high,Street Light Not Working problem in Ullalu ward,0.72
waste_management,low,Issue with Stray dog related complaints in Begur,0.36
electricity,medium,Street Light Not Working reported in Dodda Bidarkallu,0.67
electricity,high,Street Light Not Working issue in Singasandra area,0.73
electricity,medium,Street Light Not Working problem in A.Narayanapura ward,0.69
waste_management,medium,Garbage dump issue in Padmanabha Nagar area,0.55
electricity,medium,Street Light Not Working reported in Basavanagudi,0.66
electricity,medium,Street Light Not Working issue in Hampi Nagar area,0.67
electricity,high,Issue with Street Light Not Working in Shettyhalli,0.72
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Laggere,0.41
electricity,medium,Street Light Not Working reported in HBR Layout,0.69
waste_management,low,Issue with Potholes in Konanakunte,0.35
waste_management,medium,Complaint regarding Road side drains at Hosahalli,0.43
waste_management,medium,Issue with obstructions Branches / Trees. in Hegganahalli,0.45
waste_management,medium,Burning of Garbage in Open Space issue in Begur area,0.41
waste_management,low,Stray dog related complaints issue in Madiwala area,0.38
electricity,medium,Street Light Not Working reported in Rajarajeshwari Nagar,0.69
waste_management,medium,Maintenance of SWD issue in Varthur area,0.46
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Varthur,0.40
waste_management,low,Issue with Removal of dead/fallen trees in Begur,0.37
sanitation,high,Issue with No water supply in public toilet(s) in Garudacharpalya,0.72
waste_management,low,Sweeping not done issue in Someshwara area,0.40
waste_management,medium,obstructions Branches / Trees. problem in Sampangiram Nagar ward,0.41
electricity,high,Street Light Not Working problem in Byrasandra ward,0.74
waste_management,low,ekhata approval pending with ARO reported in Vishwanathnagenahalli,0.35
waste_management,low,Issue with Dead animal(s) in Pattabhiram Nagar,0.35
electricity,medium,Street Light Not Working reported in Subedarapalya,0.67
waste_management,medium,Issue with Garbage dump in Marenahalli,0.49
waste_management,medium,Road side drains issue in Thanisandra area,0.50
waste_management,medium,Sweeping not done issue in Vishwanathnagenahalli area,0.42
electricity,high,Issue with Street Light Not Working in Dodda Bidarkallu,0.73
waste_management,low,ekhata approval pending with ARO issue in Begur area,0.38
waste_management,medium,Issue with Garbage dumping in vacant sites in Jnanabharathi Ward,0.48
waste_management,low,Complaint regarding Fatally injured - Needs immediate attention at Kuvempu Nagar,0.36
waste_management,low,Complaint regarding UnAuthorised Constructions at Gottigere,0.37
waste_management,low,Issue with Garbage vehicle not arrived in Vignana Nagar,0.38
electricity,high,Street Light Not Working problem in Anjanapur ward,0.72
waste_management,low,Complaint regarding Garbage vehicle not arrived at Ganeshmandira Ward,0.39
waste_management,low,Complaint regarding Garbage vehicle not arrived at Vishwanathnagenahalli,0.36
waste_management,medium,Issue with Maintenance of SWD in Horamavu,0.48
electricity,medium,Street Light Not Working issue in Horamavu area,0.70
waste_management,low,Road side drains problem in Uttarahalli ward,0.38
waste_management,medium,Sweeping not done problem in Jogupalya ward,0.43
waste_management,medium,Complaint regarding Garbage dump at Hoodi,0.51
waste_management,medium,Animal Rescue - Not well - Requires attention issue in Anjanapur area,0.43
waste_management,medium,Complaint regarding Potholes at Shanthala Nagar,0.46
waste_management,medium,Garbage dump issue in Yelachenahalli area,0.49
waste_management,medium,Fatally injured - Needs immediate attention problem in Vasanth Nagar ward,0.43
electricity,medium,Issue with Street Light Not Working in Kuvempu Nagar,0.66
electricity,high,Issue with Street Light Not Working in Vidyaranyapura,0.71
waste_management,medium,Complaint regarding Khata / Ekhata mutation / transfer at Bagalagunte,0.41
electricity,high,Complaint regarding Street Light Not Working at Konena Agrahara,0.73
waste_management,low,Complaint regarding ekhata approval pending with ARO at Lakshmidevi Nagar,0.38
waste_management,low,obstructions Branches / Trees. reported in Shiva Nagar,0.38
electricity,medium,Street Light Not Working reported in Doddabommasandra,0.67
waste_management,medium,Issue with Road side drains in Ullalu,0.50
waste_management,medium,obstructions Branches / Trees. reported in Adugodi,0.43
waste_management,medium,Garbage dump issue in Banashankari Temple Ward area,0.53
waste_management,medium,Removal of dead/fallen trees reported in Singasandra,0.41
electricity,medium,Street Light Not Working problem in Nandini Layout ward,0.66
electricity,medium,Street Light Not Working issue in Singasandra area,0.67
waste_management,low,Complaint regarding Garbage vehicle not arrived at Hemmigepura,0.36
electricity,high,Issue with Street Light Not Working in Dharmarayaswamy Temple Ward,0.71
waste_management,medium,Garbage vehicle not arrived reported in Kavalbyrasandra,0.42
waste_management,medium,Complaint regarding obstructions Branches / Trees. at Gottigere,0.43
electricity,medium,Street Light Not Working reported in Bilekahalli,0.66
waste_management,medium,Stray dog related complaints reported in K.R.Market,0.40
electricity,medium,Street Light Not Working problem in Herohalli ward,0.67
electricity,high,Issue with Street Light Not Working in Manorayanapalya,0.75
waste_management,low,obstructions Branches / Trees. problem in Ullalu ward,0.39
waste_management,medium,new Khata / Ekhata registration / creation problem in Singasandra ward,0.43
waste_management,medium,Overhanging cables issue in Hemmigepura area,0.46
electricity,medium,Street Light Not Working issue in Doddabommasandra area,0.65
electricity,medium,Street Light Not Working reported in Shiva Nagar,0.70
waste_management,low,Sweeping not done reported in Dharmarayaswamy Temple Ward,0.37
waste_management,medium,Road side drains reported in K.R.Puram,0.44
electricity,medium,Complaint regarding Street Light Not Working at Kuvempu Nagar,0.68
waste_management,medium,Garbage dump issue in Begur area,0.63
waste_management,low,Complaint regarding Garbage thrown in storm water drain at Bagalagunte,0.37
waste_management,medium,Complaint regarding Potholes at H.M.T,0.46
waste_management,low,Sweeping not done problem in Shanthala Nagar ward,0.36
waste_management,medium,Garbage vehicle not arrived reported in Bellandur,0.41
waste_management,medium,Road Infrastructure problem in Attiguppe ward,0.42
waste_management,medium,Complaint regarding Garbage dump at Someshwara,0.55
waste_management,medium,Road Infrastructure issue in Kadugodi area,0.44
electricity,medium,Complaint regarding Park Lights Not Working at Begur,0.67
waste_management,medium,Sweeping not done issue in Sri Rammandira area,0.45
electricity,medium,Street Light Not Working problem in Hemmigepura ward,0.65
electricity,high,Issue with Street Light Not Working in S.K.Garden,0.73
electricity,high,Complaint regarding Street Light Not Working at Konanakunte,0.75
electricity,high,Complaint regarding Street Light Not Working at Thanisandra,0.75
waste_management,medium,Sweeping not done problem in Jaraganahalli ward,0.43
electricity,high,Issue with Street Light Not Working in Ullalu,0.72
electricity,medium,Street Light Not Working issue in Rajarajeshwari Nagar area,0.68
electricity,medium,Street Light Not Working reported in Dattathreya Temple,0.68
electricity,high,Complaint regarding Street Light Not Working at Vidyapeetha,0.73
electricity,medium,Street Light Not Working problem in Nandini Layout ward,0.65
electricity,high,Street Light Not Working issue in Ramamurthy Nagar area,0.75
waste_management,low,Stray dog related complaints reported in Gottigere,0.39
waste_management,low,Fogging problem in Horamavu ward,0.38
waste_management,low,obstructions Branches / Trees. problem in Yelahanka old Satellite Town ward,0.39
electricity,medium,Street Light Not Working problem in Chamrajpet ward,0.67
electricity,medium,Street Light Not Working reported in Yelachenahalli,0.68
electricity,medium,Street Light Not Working reported in K.R.Puram,0.68
electricity,high,Street Light Not Working issue in Cottonpet area,0.73
electricity,medium,Complaint regarding Street Light Not Working at Hoodi,0.66
electricity,high,Street Light Not Working problem in Bilekahalli ward,0.71
waste_management,low,obstructions Branches / Trees. issue in Kottigepalya area,0.37
waste_management,low,Issue with Stray dog related complaints in Moodalapalya,0.38
electricity,high,Street Light Not Working issue in Jayanagar East area,0.74
electricity,medium,Street Light Not Working issue in Someshwara area,0.66
electricity,high,Issue with Street Light Not Working in Maruthi Mandira Ward,0.71
electricity,high,Street Light Not Working reported in Begur,0.71
electricity,medium,Street Light Not Working issue in Benniganahalli area,0.65
electricity,high,Street Light Not Working problem in Shettyhalli ward,0.72
electricity,medium,Street Light Not Working reported in Mangammanapalya,0.67
waste_management,low,obstructions Branches / Trees. reported in Jnanabharathi Ward,0.39
electricity,high,Street Light Not Working reported in Begur,0.75
electricity,medium,Complaint regarding Street Light Not Working at Laggere,0.66
electricity,high,Street Light Not Working reported in Yelahanka old Satellite Town,0.74
waste_management,medium,Complaint regarding Dead animal(s) at Arakere,0.40
waste_management,medium,Complaint regarding Garbage dump at J.P.Nagar,0.60
electricity,medium,Earthing Issue relate to Electric Poles/Panel Boards issue in Hebbal area,0.56
electricity,high,Street Light Not Working reported in Byatarayanapura,0.75
waste_management,medium,Stray dog related complaints issue in Kavalbyrasandra area,0.42
waste_management,medium,Others problem in Bellandur ward,0.54
waste_management,medium,Road side drains issue in Thanisandra area,0.42
waste_management,medium,Maintenance of SWD issue in Jnanabharathi Ward area,0.54
waste_management,low,Issue with Dead animal(s) in Kavalbyrasandra,0.37
waste_management,low,Issue with Road side drains in Jakkur,0.36
electricity,high,Street Light Not Working problem in Bilekahalli ward,0.74
waste_management,low,Removal of dead/fallen trees problem in HBR Layout ward,0.37
waste_management,low,Stray dog related complaints reported in Horamavu,0.39
waste_management,low,Potholes problem in Basavanapura ward,0.38
waste_management,low,obstructions Branches / Trees. issue in HSR Layout area,0.40
electricity,high,Street Light Not Working issue in Mathikere area,0.72
waste_management,medium,ekhata approval pending with ARO reported in Ullalu,0.44
waste_management,medium,Complaint regarding Others at Vasanth Nagar,0.47
waste_management,medium,Complaint regarding Others (JC) at Byatarayanapura,0.41
waste_management,medium,Issue with Sweeping not done in Jeevanbhima Nagar,0.44
waste_management,medium,Complaint regarding obstructions Branches / Trees. at Gottigere,0.41
waste_management,medium,Issue with Sewage inflow to lake in Peenya Industrial Area,0.47
waste_management,low,Sweeping not done problem in Ramamurthy Nagar ward,0.37
electricity,medium,Issue with Street Light Not Working in Vignana Nagar,0.65
waste_management,medium,Road cutting problem in Kamakshipalya ward,0.44
waste_management,medium,Garbage dump problem in Madiwala ward,0.52
waste_management,medium,Road Infrastructure reported in Shanthala Nagar,0.47
waste_management,medium,Complaint regarding Garbage dump at Kodigehalli,0.48
waste_management,low,Issue with Removal of dead/fallen trees in Horamavu,0.35
waste_management,low,Issue with Others (JC) in Basavanapura,0.35
waste_management,low,Issue with Sweeping not done in Kodigehalli,0.40
electricity,medium,Street Light Not Working issue in Hemmigepura area,0.69
waste_management,medium,Garbage dumping in vacant sites reported in Kavalbyrasandra,0.49
waste_management,low,Complaint regarding Water related issue at Jakkur,0.39
electricity,medium,Issue with Street Light Not Working in Dr.Rajkumar Ward,0.69
waste_management,low,Sweeping not done problem in Kushal Nagar ward,0.36
waste_management,low,Issue with Dengue positive in Chikpete,0.38
waste_management,medium,Road Infrastructure problem in Bellandur ward,0.40
waste_management,medium,Complaint regarding Others (JC) at K.R.Puram,0.44
waste_management,low,UnAuthorised Constructions issue in Sunkenahalli area,0.35
waste_management,medium,Complaint regarding Garbage dump at Giri Nagar,0.53
waste_management,medium,Garbage dump problem in Visvesvarapuram ward,0.50
waste_management,medium,Garbage dump issue in Giri Nagar area,0.47
waste_management,medium,Garbage vehicle not arrived reported in Konena Agrahara,0.47
waste_management,medium,Garbage vehicle not arrived issue in Giri Nagar area,0.44
waste_management,medium,Garbage dump problem in Horamavu ward,0.50
waste_management,medium,Sweeping not done issue in Kamakshipalya area,0.44
waste_management,medium,Sweeping not done problem in Sanjay Nagar ward,0.40
waste_management,medium,ekhata approval pending with ARO issue in Kengeri area,0.42
waste_management,medium,Issue with Garbage dump in Rajarajeshwari Nagar,0.52
electricity,high,Issue with Street Light Not Working in Thanisandra,0.71
waste_management,medium,Garbage vehicle not arrived issue in Maruthi Seva Nagar area,0.40
waste_management,medium,Sweeping not done issue in Basaveshwara Nagar area,0.45
waste_management,medium,Garbage dump issue in Banaswadi area,0.47
waste_management,medium,Issue with Mutton/Chicken/fish stall Unhygienic maintenance in Sagayapuram,0.44
electricity,medium,Complaint regarding Street Light Not Working at J.P.Nagar,0.68
waste_management,low,Garbage vehicle not arrived issue in Herohalli area,0.38
waste_management,low,Complaint regarding Removal of dead/fallen trees at Yelahanka old Satellite Town,0.39
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Kumaraswamy Layout,0.42
electricity,high,Street Light Not Working issue in Peenya Industrial Area area,0.70
waste_management,medium,Garbage vehicle not arrived problem in Someshwara ward,0.42
waste_management,medium,Complaint regarding obstructions Branches / Trees. at Vasanthapura,0.42
waste_management,medium,Issue with footpath encroachment in C.V.Raman Nagar,0.48
waste_management,low,Complaint regarding Garbage vehicle not arrived at Puttenahalli,0.40
waste_management,low,obstructions Branches / Trees. issue in Aramane Nagar area,0.38
waste_management,medium,Sweeping not done reported in Byatarayanapura,0.41
waste_management,medium,Garbage dumping in vacant sites issue in Yelachenahalli area,0.49
waste_management,low,Issue with obstructions Branches / Trees. in Jakkasandra,0.39
waste_management,medium,Issue with Garbage dump in K.R.Market,0.49
waste_management,medium,Removal of dead/fallen trees issue in HSR Layout area,0.41
waste_management,medium,Issue with Garbage vehicle not arrived in Kodigehalli,0.44
electricity,high,Street Light Not Working reported in Jakkur,0.72
waste_management,medium,Issue with Footpath in Thanisandra,0.53
waste_management,medium,Complaint regarding obstructions Branches / Trees. at Vidyaranyapura,0.43
waste_management,low,Complaint regarding Garbage vehicle not arrived at Herohalli,0.37
parks_recreation,medium,Issues Related to Parks/Medians/Circles/Island. issue in Rajarajeshwari Nagar area,0.41
waste_management,medium,Complaint regarding Road side drains at Thanisandra,0.50
waste_management,medium,Footpath problem in Someshwara ward,0.55
waste_management,medium,Road cutting reported in Kottigepalya,0.41
waste_management,medium,Issue with Garbage vehicle not arrived in Bellandur,0.44
waste_management,low,Garbage vehicle not arrived problem in Pulikeshi Nagar ward,0.39
waste_management,medium,Garbage dump reported in HSR Layout,0.51
electricity,high,Complaint regarding Street Light Not Working at Madiwala,0.75
waste_management,medium,Garbage dump problem in HBR Layout ward,0.52
electricity,high,Street Light Not Working problem in Padmanabha Nagar ward,0.73
waste_management,low,Complaint regarding Potholes at A.Narayanapura,0.36
waste_management,low,Potholes problem in Hoodi ward,0.36
waste_management,medium,Spraying problem in Hebbal ward,0.44
waste_management,medium,Complaint regarding Anti Rabies Vaccination of stray dogs at Gayathri Nagar,0.44
waste_management,medium,Garbage dump problem in Hemmigepura ward,0.52
electricity,high,Street Light Not Working problem in Shettyhalli ward,0.73
electricity,high,Street Light Not Working problem in Chikpete ward,0.71
electricity,medium,Complaint regarding Street Light Not Working at Nagavara,0.69
waste_management,medium,Issue with Garbage dump in Garudacharpalya,0.46
electricity,high,Street Light Not Working problem in Rayapuram ward,0.73
electricity,high,Issue with Street Light Not Working in Jnanabharathi Ward,0.70
electricity,high,Street Light Not Working reported in Hoodi,0.73
waste_management,medium,Road side drains problem in Yelahanka old Satellite Town ward,0.48
electricity,medium,Complaint regarding Street Light Not Working at Dodda Bidarkallu,0.67
electricity,high,Street Light Not Working problem in Bagalagunte ward,0.74
electricity,high,Issue with Street Light Not Working in H.M.T,0.75
electricity,medium,Street Light Not Working problem in Jayamahal ward,0.65
waste_management,low,Removal of dead/fallen trees problem in Kengeri ward,0.39
electricity,medium,Street Light Not Working problem in Begur ward,0.67
waste_management,medium,Garbage dump problem in Hanumantha Nagar ward,0.54
waste_management,medium,Complaint regarding Debris Removal / Construction Material at Begur,0.54
electricity,medium,Complaint regarding Open Electrical Junction Box at Shettyhalli,0.56
waste_management,medium,Sweeping not done reported in Basaveshwara Nagar,0.42
electricity,high,Complaint regarding Street Light Not Working at Hoodi,0.73
waste_management,low,obstructions Branches / Trees. problem in HSR Layout ward,0.37
waste_management,medium,Issue with Maintenance of SWD in Horamavu,0.54
electricity,high,Issue with Street Light Not Working in Shivaji Nagar,0.74
waste_management,medium,obstructions Branches / Trees. issue in Pattabhiram Nagar area,0.43
waste_management,low,obstructions Branches / Trees. problem in BTM Layout ward,0.38
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Ejipura,0.42
waste_management,low,Issue with Potholes in Singasandra,0.39
waste_management,low,Removal of dead/fallen trees reported in Chowdeshwari Ward,0.38
waste_management,medium,Issue with Debris Removal / Construction Material in HSR Layout,0.45
electricity,high,Street Light Not Working issue in Koramangala area,0.75
waste_management,medium,Issue with Garbage vehicle not arrived in Hongasandra,0.44
waste_management,medium,Sweeping not done reported in Kuvempu Nagar,0.44
waste_management,medium,Issue with Road Infrastructure in Hagadooru,0.43
waste_management,low,Removal of dead/fallen trees problem in Singasandra ward,0.36
waste_management,low,Complaint regarding Burning of Garbage in Open Space at Uttarahalli,0.36
waste_management,medium,Others reported in Yelachenahalli,0.52
waste_management,low,Issue with Garbage transfer not as per norms & area not kept clean in Yelachenahalli,0.38
electricity,medium,Complaint regarding Street Light Not Working at Hoodi,0.69
waste_management,medium,Garbage dump reported in Chokkasandra,0.48
waste_management,medium,Complaint regarding Road side drains at Nagavara,0.41
waste_management,medium,obstructions Branches / Trees. problem in Gangenahalli ward,0.42
waste_management,low,Debris Removal / Construction Material problem in Chikpete ward,0.39
waste_management,low,Garbage vehicle not arrived problem in T-Dasarahalli ward,0.38
waste_management,low,Complaint regarding Garbage vehicle not arrived at Yelachenahalli,0.37
waste_management,low,Issue with Street dog Adaptation process details in Chowdeshwari Ward,0.38
waste_management,medium,Potholes reported in Chikpete,0.55
electricity,high,Issue with Street Light Not Working in Jayamahal,0.72
waste_management,medium,Complaint regarding Removal of dead/fallen trees at Bilekahalli,0.44
waste_management,low,Issue with Pet dog licence in Ramamurthy Nagar,0.36
traffic,medium,Complaint regarding TEC at Marathalli,0.43
waste_management,low,Removal of dead/fallen trees issue in Kodigehalli area,0.38
waste_management,medium,Removal of dead/fallen trees problem in Banaswadi ward,0.42
waste_management,low,Complaint regarding Construction not done as per approved plan (Building Bye Law Violations) at Kodigehalli,0.39
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Manorayanapalya,0.41
waste_management,medium,Garbage dump issue in Kodigehalli area,0.45
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Thanisandra,0.41
waste_management,medium,Road side drains issue in HSR Layout area,0.47
waste_management,medium,Issue with Removal of dead/fallen trees in Pattabhiram Nagar,0.44
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Basavanapura,0.46
waste_management,medium,Complaint regarding Garbage dump at Singasandra,0.52
waste_management,medium,Removal of dead/fallen trees issue in Gottigere area,0.41
waste_management,medium,Complaint regarding water stagnation at Bharathi Nagar,0.45
waste_management,medium,Complaint regarding footpath encroachment at Jayachamarajendra Nagar,0.47
waste_management,low,Garbage vehicle not arrived issue in Varthur area,0.39
waste_management,medium,Issue with Others in Siddapura,0.52
waste_management,low,Animal Rescue - Not well - Requires attention issue in Mathikere area,0.37
waste_management,low,Removal of dead/fallen trees problem in Giri Nagar ward,0.37
waste_management,medium,Issue with Removal of dead/fallen trees in Vasanthapura,0.41
waste_management,low,Garbage vehicle not arrived issue in Hemmigepura area,0.35
waste_management,medium,Garbage thrown in storm water drain reported in Basavanapura,0.52
waste_management,low,Complaint regarding Removal of dead/fallen trees at BTM Layout,0.38
waste_management,medium,Issue with Garbage dumping in vacant sites in Gottigere,0.52
waste_management,medium,Garbage dump reported in Mangammanapalya,0.54
waste_management,medium,Complaint regarding Removal of dead/fallen trees at Ganeshmandira Ward,0.40
waste_management,medium,Khata Services (Registration reported in  Bifurcation and Amalgamation),0.46
waste_management,low,Issue with Removal of dead/fallen trees in Newthippasandra,0.36
waste_management,medium,Garbage dump reported in Visvesvarapuram,0.54
waste_management,medium,obstructions Branches / Trees. problem in Katriguppe ward,0.45
electricity,medium,Complaint regarding Street Light Not Working at Vidyaranyapura,0.69
electricity,high,Complaint regarding Street Light Not Working at Doddabommasandra,0.74
waste_management,medium,Garbage vehicle not arrived reported in Chikpete,0.43
waste_management,low,Removal of dead/fallen trees issue in Someshwara area,0.36
waste_management,medium,Complaint regarding water stagnation at Ramamurthy Nagar,0.41
electricity,medium,Street Light Not Working problem in Byatarayanapura ward,0.69
waste_management,medium,Road cutting problem in Doddanekkundi ward,0.52
waste_management,medium,Complaint regarding Others at Ramamurthy Nagar,0.49
waste_management,low,Issue with Other property tax issues in Hemmigepura,0.38
waste_management,low,water stagnation reported in Doddanekkundi,0.36
waste_management,low,obstructions Branches / Trees. issue in Benniganahalli area,0.39
electricity,high,Street Light Not Working reported in Ullalu,0.75
electricity,medium,Complaint regarding Street Light Not Working at Mathikere,0.65
waste_management,medium,Footpath problem in Begur ward,0.42
electricity,medium,Street Light Not Working reported in Byatarayanapura,0.69
waste_management,low,Issue with Ekhata Area Correction in Basavanapura,0.39
waste_management,medium,water stagnation issue in Shakambari Nagar area,0.41
waste_management,medium,Issue with Removal of dead/fallen trees in Siddapura,0.40
waste_management,medium,Complaint regarding Khata Services (Registration at  Bifurcation and Amalgamation),0.55
waste_management,medium,Complaint regarding Footpath at Sarvagna Nagar,0.50
waste_management,medium,Maintenance of SWD reported in Horamavu,0.48
waste_management,low,Complaint regarding Dead animal(s) at Hoodi,0.36
waste_management,medium,Removal of dead/fallen trees problem in Vidyaranyapura ward,0.42
waste_management,medium,water stagnation reported in Basavanapura,0.43
waste_management,low,Road side drains issue in Someshwara area,0.37
waste_management,low,Complaint regarding water stagnation at Jakkur,0.39
waste_management,low,Issue with Removal of dead/fallen trees in Aramane Nagar,0.36
waste_management,medium,Removal of dead/fallen trees reported in Doddabommasandra,0.47
waste_management,medium,water stagnation issue in Jakkur area,0.42
electricity,medium,Street Light Not Working reported in HBR Layout,0.69
waste_management,medium,Issue with Potholes in Rajarajeshwari Nagar,0.42
waste_management,medium,Removal of dead/fallen trees issue in Moodalapalya area,0.42
waste_management,medium,Complaint regarding Road Infrastructure at Sarvagna Nagar,0.51
waste_management,medium,Potholes reported in Anjanapur,0.41
parks_recreation,low,Environmental protection problem in Nagapura ward,0.36
waste_management,low,Dengue positive issue in Vasanth Nagar area,0.38
electricity,high,Street Light Not Working problem in Ullalu ward,0.72
electricity,medium,Street Light Not Working problem in J.P.Park ward,0.66
waste_management,low,Issue with Animal birth control/neutering of stray dogs in Gottigere,0.35
waste_management,medium,Issue with Garbage vehicle not arrived in Jnanabharathi Ward,0.42
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Banaswadi,0.43
waste_management,low,obstructions Branches / Trees. problem in Arakere ward,0.38
waste_management,low,Garbage nuisance while transporting problem in Byatarayanapura ward,0.39
waste_management,medium,Complaint regarding Flex and banners at Chikkalasandra,0.41
waste_management,medium,Complaint regarding Animal Rescue - Not well - Requires attention at Bellandur,0.43
waste_management,medium,Complaint regarding Burning of Garbage in Open Space at Kavalbyrasandra,0.43
waste_management,low,Burning of Garbage in Open Space problem in Vijay Nagar ward,0.39
electricity,medium,Complaint regarding Street Light Not Working at Attiguppe,0.65
waste_management,medium,Issue with Khata Services (Registration in  Bifurcation and Amalgamation),0.49
electricity,high,Issue with Street Light Not Working in Gali Anjaneya Swamy Temple Ward,0.70
waste_management,low,Debris Removal / Construction Material problem in Rajarajeshwari Nagar ward,0.40
waste_management,medium,Road side drains reported in Singasandra,0.43
waste_management,medium,Sweeping not done issue in Sarvagna Nagar area,0.40
waste_management,low,Road side drains issue in Vasanthapura area,0.36
waste_management,medium,Complaint regarding Others(Technical or Software Issues) at Bapuji Nagar,0.55
waste_management,medium,Issue with Garbage vehicle not arrived in Yelachenahalli,0.42
waste_management,low,Complaint regarding Flex and banners at Hosahalli,0.39
waste_management,low,Garbage vehicle not arrived issue in Banaswadi area,0.37
electricity,medium,Street Light Not Working issue in Jakkur area,0.65
waste_management,low,Road side drains problem in Vasanthapura ward,0.38
waste_management,medium,Issue with Garbage vehicle not arrived in Mangammanapalya,0.44
parks_recreation,medium,Issue with Gym/Children Play equipment in the parks in Sarakki,0.41
waste_management,low,Garbage vehicle not arrived issue in Hoysala Nagar area,0.37
waste_management,medium,Garbage dump issue in Marathalli area,0.49
waste_management,low,Complaint regarding Garbage transfer not as per norms & area not kept clean at HSR Layout,0.36
electricity,high,Street Light Not Working reported in Jnanabharathi Ward,0.72
waste_management,medium,Others reported in Ramamurthy Nagar,0.47
electricity,high,Street Light Not Working reported in Rajarajeshwari Nagar,0.72
waste_management,low,UnAuthorised Constructions issue in Jakkasandra area,0.39
waste_management,medium,Sweeping not done reported in Yelachenahalli,0.42
waste_management,medium,Complaint against SW collector/ SWM official for violation of SWM Rules problem in Hegganahalli ward,0.44
waste_management,low,Garbage vehicle not arrived issue in Kuvempu Nagar area,0.37
waste_management,medium,Garbage dump problem in Vidyapeetha ward,0.48
waste_management,medium,Issue with Garbage dump in Ganeshmandira Ward,0.48
waste_management,medium,Others reported in Konanakunte,0.46
waste_management,medium,Garbage vehicle not arrived problem in Someshwara ward,0.42
waste_management,medium,Burning of Garbage in Open Space reported in Thanisandra,0.40
electricity,medium,Street Light Not Working reported in Jakkur,0.65
waste_management,low,Sweeping not done issue in Garudacharpalya area,0.38
electricity,high,Complaint regarding Street Light Not Working at Sampangiram Nagar,0.72
waste_management,low,Debris Removal / Construction Material issue in Puttenahalli area,0.39
waste_management,medium,Complaint regarding Garbage dump at Kacharakanahalli,0.47
electricity,medium,Street Light Not Working reported in Kempapura Agrahara,0.68
waste_management,low,Dead animal(s) problem in Shakthiganapathi Nagar ward,0.39
waste_management,low,Garbage vehicle not arrived issue in Yelachenahalli area,0.39
electricity,medium,Complaint regarding Street Light Not Working at Horamavu,0.67
waste_management,medium,Issue with Lake not maintained properly in Basavanapura,0.47
waste_management,low,Complaint regarding Stray/Rabid dog bite at Jaraganahalli,0.38
electricity,high,Issue with Street Light Not Working in Hemmigepura,0.71
waste_management,medium,Complaint regarding Lake not maintained properly at Basavanapura,0.49
electricity,high,Street Light Not Working issue in Rajarajeshwari Nagar area,0.71
waste_management,medium,Issue with Road Infrastructure in Basavanagudi,0.41
waste_management,medium,Issue with UnAuthorised Building Constructions in Vidyaranyapura,0.42
electricity,high,Street Light Not Working issue in Prakash Nagar area,0.73
waste_management,low,Complaint regarding Stray dog related complaints at Bilekahalli,0.39
electricity,high,Street Light Not Working reported in J.P.Nagar,0.71
